speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Cornus sessilis,,,,,,,"tree, shrub",,,,perennial,,W,,,,,,,
Cornus ulotricha,,,,,,,tree shrub intermediate,,,,,,W,,,,,,,
Cornus volkensii,,,,,,,tree,,,,perennial,,W,,,,,,,
Cornus walteri,,,,,,,tree,,,False,300.0,,W,,,,,,,
Cornus wilsoniana,,,,,,,tree shrub intermediate,,,,perennial,,W,,,,,,,
Corylus chinensis,,,,,,,tree,,,False,,,W,,,,,,,
Corylus colchica,,,,,,,woody,,,,,,W,,,,,,,
Corylus fargesii,,,,,,,tree,,,False,,,,,,,,,,
Corylus ferox,,,,,,,tree,,,False,,,W,,,,,,,
Corylus wangii,,,,,,,tree,,,False,2300.0,,,,,,,,,
Corylus yunnanensis,,,,,,,tree shrub intermediate,,,,1600.0,,W,,,,,,,
Crataegus acutifolia,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus aestivalis,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Crataegus ambigua,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus anamesa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus aprica,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus ashei,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus atrorubens,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus atrovirens,,,,,,,tree,,,,,,,,,,,,,
Crataegus aurantia,,,,,,,tree,,,False,,,W,,,,,,,
Crataegus austromontana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus azarolus,,,,,,,tree shrub intermediate,,,False,,,W,,,,,,,
Crataegus baroussana,,,,,,,tree,,,,,,,,,,,,,
Crataegus beadlei,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus beata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus berberifolia,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus brachyacantha,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus brazoria,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus castlegarensis,,,,,,,tree,,,,,,,,,,,,,
Crataegus chlorosarca,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus coccinioides,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus cognata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus coleae,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus collicola,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus collina,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus compacta,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus condigna,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus dahurica,,,,,,,tree shrub intermediate,,,False,,,,,,,,,,
Crataegus desueta,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus dispar,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus distincta,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus dodgei,,,,,,,tree,,,,,,,,,,,,,
Crataegus douglasii,,,,,,,tree,,,False,perennial,,woody,,,,,,,
Crataegus enderbyensis,,,,,,,tree,,,,,,,,,,,,,
Crataegus erythrocarpa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus fecunda,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus flabellata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus flava,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus floridana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus florifera,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus fluviatilis,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus fragilis,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus fretalis,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus gattingeri,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus glareosa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus greggiana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus harbisonii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus holmesiana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus hupehensis,,,,,,,tree,,,,,,W,,,,,,,
Crataegus incaedua,,,,,,,tree,,,,,,,,,,,,,
Crataegus indicens,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus iracunda,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus irrasa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus jesupii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus jonesiae,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus kansuensis,,,,,,,tree shrub intermediate,,,False,,,woody,,,,,,,
Crataegus kelloggii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus kyrtostyla,,,,,,,woody,,,,,,woody,,,,,,,
Crataegus laciniata,,,,,,,tree shrub intermediate,,,False,,,W,,,,,,,
Crataegus lacrimata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus lanuginosa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus latebrosa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus lavallei,,,,,,,woody,,,,,,woody,,,,,,,
Crataegus leonensis,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus lucorum,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus lumaria,,,,,,,tree,,,,,,,,,,,,,
Crataegus macracantha,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus macrosperma,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus marshallii,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Crataegus maximowiczii,,,,,,,tree shrub intermediate,,,False,,,W,,,,,,,
Crataegus menandiana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus mexicana,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus mollis,,,,,,,tree,,,,perennial,,W,,,,,,,
Crataegus monogyna,weiß oder rot,hermaphroditic,,,pome,,tree / shrub,,2.0,,perennial,,3,,,,no,,epigeal,diffuse-porous
Crataegus neobushii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus nigra,,,,,,,tree shrub intermediate,,,False,,,woody,,,,,,,
Crataegus nitida,,,,,,,tree,,,,,,W,,,,,,,
Crataegus nitidula,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus notha,,,,,,,tree,,,,,,,,,,,,,
Crataegus okennonii,,,,,,,"shrub, tree",,,,,,,,,,,,,
Crataegus opaca,,,,,,,"tree, shrub",,,,,,woody,,,,,,,
Crataegus opulens,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus orbicularis,,,,,,,tree,,,,,,,,,,,,,
Crataegus orientalis,,,,,,,woody,,,,,,woody,,,,,,,
Crataegus ouachitensis,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus padifolia,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus pearsonii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus pennsylvanica,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus pentagyna,,,,,,,tree shrub intermediate,,,False,,,woody,,,,,,,
Crataegus persimilis,,,,,,,"tree, shrub",,3.0,,,,,,,,,,,
Crataegus phaenopyrum,,,,,,,tree,,,False,perennial,,W,,,,,,,
Crataegus phippsii,,,,,,,"shrub, tree",,,,,,,,,,,,,
Crataegus piperi,,,,,,,"shrub, tree",,,,,,,,,,,,,
Crataegus pisifera,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus pontica,,,,,,,woody,,,,,,,,,,,,,
Crataegus populnea,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus prona,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus pulcherrima,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus punctata,,,,,,,tree,,,,perennial,,W,,,,,,,
Crataegus putata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus ravida,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus reverchonii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus rhipidophylla,weiß,hermaphroditic,,,pome,,shrub/tree/woody,,2.0,,always pluriennial-pollakanthic,,woody,,,,,,,
Crataegus rivularis,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus rosei,,,,,,,shrub/tree,,,,,,,,,,,,,
Crataegus rubella,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus rufula,,,,,,,tree,,,,,,,,,,,,,
Crataegus saligna,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus sargentii,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus scabrida,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus schizophylla,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus schuettei,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus senta,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus silvestris,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus sinaica,,,,,,,shrub/tree,,,,,,W,,,,,,,
Crataegus spathulata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus spatiosa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus spissa,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus stenosepala,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus submollis,,,,,,,shrub/tree intermediate,,,,,,woody,,,,,,,
Crataegus suborbiculata,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus suksdorfii,,,,,,,"tree, shrub",,,,,,W,,,,,,,
Crataegus tanacetifolia,,,,,,,woody,,,,,,woody,,,,,,,
Crataegus tanuphylla,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus texana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus thermopegaea,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus tinctoria,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus triflora,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus turnerorum,,,,,,,tree,,,,,,,,,,,,,
Crataegus vailiae,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus venusta,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus viridis,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus warneri,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus wattiana,,,,,,,tree,,,,,,W,,,,,,,
Crataegus wilsonii,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus wootoniana,,,,,,,"tree, shrub",,,,,,,,,,,,,
Crataegus xanthophylla,,,,,,,"tree, shrub",,,,,,,,,,,,,
Davidia involucrata,,,,,,,tree,,,False,,,W,,,,,,,
Diospyros abyssinica,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros acapulcensis,,,,,,,tree,,,,,,,,,,,,,
Diospyros adenophora,,,,,,,tree,,,,,,W,,,,,,,
Diospyros alboflavescens,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros amboinensis,,,,,,,woody,,,,,,W,,,,,,,
Diospyros andamanica,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros anisandra,,,,,,,trees,,,,,,woody,,,,,,,
Diospyros apiculata,,,,,,,tree,,,,,,W,,,,,,,
Diospyros areolata,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros argentea,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros artanthifolia,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros aurea,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Diospyros baloen-ldjoek,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Diospyros barteri,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros bejaudii,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros bipindensis,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros blancoi,,,,,,,tree,,,,,,W,,,,,,,
Diospyros boala,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros borbonica,,,,,,,tree/woody,,,,,,woody,,,,,,,
Diospyros borneensis,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros brasiliensis,,,,,,,tree,,,,,,W,,,,,,,
Diospyros bumelioides,,,,,,,trees,,,,,,,,,,,,,
Diospyros burmanica,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros bussei,,,,,,,woody,,,,,,W,,,,,,,
Diospyros buxifolia,,,,,,,tree,,,,,,W,,,,,,,
Diospyros campanulata,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Diospyros canaliculata,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros capreifolia,,,,,,,tree,,,,,,W,,,,,,,
Diospyros carbonaria,,,,,,,tree,,,,,,W,,,,,,,
Diospyros caribaea,,,,,,,woody,,,,,,W,,,,,,,
Diospyros castanea,,,,,,,woody,,,,,,W,,,,,,,
Diospyros cauliflora,,,,,,,tree,,,,Perennial,,W,,,,,,,
Diospyros cauligera,,,,,,,tree,,,,,,,,,,,,,
Diospyros cavalcantei,,,,,,,tree,,,,,,,,,,,,,
Diospyros celebica,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros cinnabarina,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros clavigera,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros confertiflora,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros conocarpa,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros conzattii,,,,,,,tree,,,,,,,,,,,,,
Diospyros cooperi,,,,,,,woody,,,,,,W,,,,,,,
Diospyros crassiflora,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros dalyom,,,,,,,tree,,,,,,,,,,,,,
Diospyros dendo,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros dichroa,,,,,,,tree,,,,,,W,,,,,,,
Diospyros diepenhorstii,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros discocalyx,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros dumetorum,,,,,,,tree,,,,,,W,,,,,,,
Diospyros ebenum,,,,,,,tree,,,,,,W,,,,,,,
Diospyros egleri,,,,,,,tree,,,,,,,,,,,,,
Diospyros egrettarum,,,,,,,woody,,,,,,W,,,,,,,
Diospyros ehretioides,,,,,,,tree,,,,,,W,,,,,,,
Diospyros ekodul,,,,,,,tree,,,,,,W,,,,,,,
Diospyros elliotii,,,,,,,woody,,,,,,W,,,,,,,
Diospyros elliptifolia,,,,,,,tree,,,,,,W,,,,,,,
Diospyros esmereg,,,,,,,tree,,,,,,,,,,,,,
Diospyros evena,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros fasciculosa,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros ferruginescens,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros fischeri,,,,,,,woody,,,,,,W,,,,,,,
Diospyros forbesii,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros frutescens,,,,,,,woody,,,,,,W,,,,,,,
Diospyros gabunensis,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros glabra,,,,,,,woody,,,,,,W,,,,,,,
Diospyros glandulosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros glaucophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros gracilipes,,,,,,,woody,,,,,,W,,,,,,,
Diospyros greveana,,,,,,,woody,,,,,,W,,,,,,,
Diospyros grisebachii,,,,,,,tree,,,,,,,,,,,,,
Diospyros guatterioides,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros guianensis,,,,,,,tree,,,,,,W,,,,,,,
Diospyros hainanensis,,,,,,,tree,,,,,,W,,,,,,,
Diospyros hasseltii,,,,,,,tree,,,,perennial,,W,,,,,,,
Diospyros hassleri,,,,,,,tree,,,,,,,,,,,,,
Diospyros hemicycloides,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Diospyros heterotricha,,,,,,,woody,,,,,,W,,,,,,,
Diospyros hillebrandii,,,,,,,tree,,,,,,,,,,,,,
Diospyros howii,,,,,,,tree,,,,,,W,,,,,,,
Diospyros hoyleana,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros humbertiana,,,,,,,woody,,,,,,W,,,,,,,
Diospyros inconstans,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros inflata,,,,,,,tree,,,,,,W,,,,,,,
Diospyros inhacaensis,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros intricata,,,,,,,woody,,,,,,W,,,,,,,diffuse
Diospyros japonica,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros johnstoniana,,,,,,,tree,,,,,,,,,,,,,
Diospyros juruensis,,,,,,,tree,,,,,,,,,,,,,
Diospyros kamerunensis,,,,,,,tree,,,,,,W,,,,,,,
Diospyros kerrii,,,,,,,tree (evergreen),,,,,,,,,,,,,
Diospyros kirkii,,,,,0,,tree,,,,,,W,,,,,,,
Diospyros koeboeensis,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros korthalsiana,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros kurzii,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros latisepala,,,,,,,tree,,,,,,W,,,,,,,
Diospyros latispathulata,,,,,,,woody,,,,,,W,,,,,,,
Diospyros lissocarpoides,,,,,,,tree,,,,,,W,,,,,,,
Diospyros lolin,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros longibracteata,,,,,,,tree,,,,,,W,,,,,,,
Diospyros longistyla,,,,,,,tree,,,,,,,,,,,,,
Diospyros maclurei,,,,,,,tree,,,,,,W,,,,,,,
Diospyros maingayi,,,,,,,tree,,,,,,W,,,,,,,
Diospyros malabarica,,,,,,,tree,,,,,,W,,,,,,,
Diospyros manampetsae,,,,,,,woody,,,,,,W,,,,,,,
Diospyros mannii,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros manu,,,,,,,tree,,,,,,,,,,,,,
Diospyros mapingo,,,,,,,woody,,,,,,W,,,,,,,
Diospyros maritima,,,,,,,tree,,,,,,W,,,,,,,
Diospyros marmorata,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros matheriana,,,,,,,tree,,,,,,,,,,,,,
Diospyros melanida,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros melanoxylon,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros mespiliformis,,,,,0,,tree,,,,,,woody,,,,,,,
Diospyros micrantha,,,,,,,trees,,,,,,,,,,,,,
Diospyros mindanaensis,,,,,,,tree,,,,,,W,,,,,,,diffuse-porous
Diospyros montana,,,,,,,tree,,,,,,W,,,,,,,
Diospyros mun,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros myriophylla,,,,,,,woody,,,,,,W,,,,,,,
Diospyros nanay,,,,,,,tree,,,,,,,,,,,,,
Diospyros natalensis,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros nemorosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros nigra,,,,,,,tree,,,,,,,,,,,,,
Diospyros nutans,,,,,,,tree,,,,,,W,,,,,,,
Diospyros oaxacana,,,,,,,tree,,,,,,,,,,,,,
Diospyros oblonga,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros palmeri,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros panguana,,,,,,,tree,,,,,,,,,,,,,
Diospyros papuana,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros penangiana,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros pendula,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros pentamera,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros perfida,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros pervillei,,,,,,,woody,,,,,,W,,,,,,,
Diospyros philippinensis,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros piresii,,,,,,,tree,,,,,,,,,,,,,
Diospyros piscatoria,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros platycalyx,,,,,,,woody,,,,,,W,,,,,,,
Diospyros poeppigiana,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros polita,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros poncei,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros pseudoxylopia,,,,,,,tree,,,,,,W,,,,,,,
Diospyros puncticulosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros pyrrhocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros quiloensis,,,,,0,,tree,,,,,,woody,,,,,,,
Diospyros retrofracta,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros revaughanii,,,,,,,woody,,,,,,W,,,,,,,
Diospyros revoluta,,,,,,,tree,,,,,,,,,,,,,
Diospyros revolutissima,,,,,,,woody,,,,,,W,,,,,,,
Diospyros rigida,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros rosei,,,,,,,tree,,,,,,,,,,,,,
Diospyros rumphii,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros sakalavarum,,,,,,,woody,,,,,,W,,,,,,,
Diospyros salicifolia,,,,,,,tree,,,,,,W,,,,,,,
Diospyros sandwicensis,,,,,,,tree,,,,,,W,,,,,,,
Diospyros sanza-minika,,,,,,,tree,,,,,,W,,,,,,,
Diospyros scabiosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros scabra,,,,,,,woody,,,,,,W,,,,,,,
Diospyros scortechinii,,,,,,,tree,,,,,,W,,,,,,,
Diospyros sericea,,,,,,,tree,,,,,,,,,,,,,
Diospyros siamang,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros sintenisii,,,,,,,tree,,,,,,,,,,,,,
Diospyros squamosa,,,,,,,tree,,,,,,,,,,,,,
Diospyros suaveolens,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros subrotata,,,,,,,tree,,,,perennial,,woody,,,,,,,
Diospyros sundaica,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros tessmannii,,,,,,,tree,,,,,,,,,,,,,
Diospyros tetrasperma,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros thomasii,,,,,,,tree (t),,,,,,W,,,,,,,
Diospyros tonkinensis,,,,,,,woody,,,,,,W,,,,,,,
Diospyros toposia,,,,,,,tree,,,,,,W,,,,,,,
Diospyros transitoria,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros tristis,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros truncata,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros ulo,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros urep,,,,,,,tree,,,,,,,,,,,,,
Diospyros vaccinioides,,,,,,,woody,,,,,,W,,,,,,,
Diospyros venenosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros venosa,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros virginiana,,,,,,,tree,,,False,perennial,,woody,,,,,,,semi-ring-porous
Diospyros wajirensis,,,,,,,woody,,,,,,W,,,,,,,
Diospyros wallichii,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros whyteana,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros xishuangbannaensis,,,,,,,tree,,,,,,W,,,,,,,
Diospyros yatesiana,,,,,,,tree,,,,,,woody,,,,,,,
Diospyros yeobi,,,,,,,tree/woody,,,,,,W,,,,,,,
Diospyros yomomo,,,,,,,tree,,,,,,,,,,,,,
Diospyros zombensis,,,,,,,tree,,,,,,woody,,,,,,,
Dipterocarpus baudii,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus borneensis,,,,,,,tree,,,,,,W,,,,,,,
Dipterocarpus chartaceus,,,,,,,tree,,,,,,W,,,,,,,
Dipterocarpus concavus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus confertus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus conformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus coriaceus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus cornutus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus costulatus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus crinitus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus dyeri,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus elongatus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus eurhynchus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus fagineus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus geniculatus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus globosus,,,,,,,tree,,,,,,W,,,,,,,diffuse-porous
Dipterocarpus gracilis,,,,,,,tree,,,,,,W,,,,,,,
Dipterocarpus hasseltii,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus humeratus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus indicus,,,,,,,tree,,,,,,W,,,,,,,
Dipterocarpus intricatus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus kunstleri,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus lamellatus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus lowii,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus mundus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus oblongifolius,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus obtusifolius,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus retusus,,,,,,,tree,,,,,,W,,,,,,,
Dipterocarpus rigidus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus rotundifolius,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus semivestitus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus stellatus,,,,,,,tree,,,,,,woody,,,,,,,
Dipterocarpus sublamellatus,,,,,,,tree,,,,,,woody,,,,,,,
Dipterocarpus tempehes,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus tuberculatus,,,,,,,tree,,,,,,woody,,,,,,,
Dipterocarpus turbinatus,,,,,,,tree,,,,,,W,,,,,,,
Dipterocarpus validus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus verrucosus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dipterocarpus zeylanicus,,,,,,,tree/woody,,,,,,W,,,,,,,
Dracaena americana,,,,,,,tree,,,,,,,,,,,,,
Dracaena aurea,,,,,,,"tree, subshrub",,,,,,,,,,,,,
Dracaena concinna,,,,,,,"tree, shrub",,,,,,W,,,,,,,
Dracaena draco,,,,,,,tree,,,False,,,W,,,,,,,
Dracaena ellenbeckiana,,,,,,,tree,,,,,,W,,,,,,,
Dracaena elliptica,,,,,,,shrub/tree/succulent/woody,,,,,,W,,,,,,,
Dracaena mannii,,,,,,,tree,,,,,,W,,,,,,,
Dracaena steudneri,,,,,,,tree,,,,,,W,,,,,,,
Dracaena terniflora,,,,,,,tree,,,,,,woody,,,,,,,
Dracaena usambarensis,,,,,,,tree,,,,,,woody,,,,,,,
