speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Cinnamomum mendozae,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum mercadoi,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum micranthum,,,,,,,Free-standing,,,,,,W,,,,,,,
Cinnamomum microphyllum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum migao,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum mollifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum mollissimum,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum myrianthum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum nalingway,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum nanophyllum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum neesii,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum novae-britanniae,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum oblongum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum obscurum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum oliveri,,,,,,,Tree,,,,60.0,,W,,,,,,,
Cinnamomum osmophloeum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum ovalauense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum ovalifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pachypes,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pachyphyllum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum paiei,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pallidum,,,,,,,Free-standing,,,,,,W,,,,,,,
Cinnamomum panayense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum paraneuron,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum parthenoxylon,,,,,,,Tree,,,,Perennial,,W,,,,,,,
Cinnamomum pedatinervium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pendulum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum percoriaceum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum perglabrum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum perrottetii,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum petiolatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum philippinense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pilosum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pingbienense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum piniodorum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pittosporoides,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum platyphyllum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum podagricum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum polderi,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum politum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum polyadelphum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum porphyrospermum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum propinquum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum pseudopedunculatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum puberulum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum racemosum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum reticulatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rhynchophyllum,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum rigidissimum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rigidum,,,,,,,Free-standing,,,,,,W,,,,,,,
Cinnamomum riparium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rivulorum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rosiflorum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rosselianum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rufotomentosum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rumphii,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum rupestre,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sancti-caroli,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sandkuhlii,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sanjappae,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum saxatile,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum scortechinii,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum septentrionale,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sericans,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sessilifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum siamense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sieboldii,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum sinharajaense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sintoc,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sleumeri,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum solomonense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum splendens,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum spurium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum subaveniopsis,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum subavenium,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum sublanuginosum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum subsericeum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum subtetrapterum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sulavesianum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sulphuratum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum sumatranum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum suvrae,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum szechuanense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum tahijanum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum talawaense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum tamala,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum tavoyanum,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum tenuipile,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum tetragonum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum travancoricum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum trichophyllum,,,,,,,Free-standing,,,,Perennial,,,,,,,,,
Cinnamomum trinervatum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum trintaense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum tsangii,,,,,,,woody,,,,,,W,,,,,,,
Cinnamomum tsoi,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum utile,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum vacciniifolium,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum validinerve,,,,,,,Tree,,,,,,,,,,,,,
Cinnamomum verum,,,,,,,tree,,,,,,W,,,,,,,
Cinnamomum villosulum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum vimineum,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum virens,,,,,,,tree,,,,,,woody,,,,,,,
Cinnamomum vitiense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum walaiwarense,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum wightii,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum wilsonii,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum woulfei,,,,,,,Free-standing,,,,,,,,,,,,,
Cinnamomum xanthoneurum,,,,,,,woody,,,,,,W,,,,,,,
Citrus aurantiifolia,,,,,,,"Shrub, Tree",,,,,,,,,,,,,
Citrus australasica,,,,,,,tree,,,,,,woody,,,,,,,
Citrus cavaleriei,,,,,,,Free-standing,,,,,,,,,,,,,
Citrus garrawayi,,,,,,,woody,,,,,,woody,,,,,,,
Citrus glauca,,,,,,,Free-standing,,,,,,,,,,,,,
Citrus halimii,,,,,,,tree,,,,,,woody,,,,,,,
Citrus hystrix,,,,,,,Tree,,,,,,woody,,,,,,,
Citrus japonica,,,,,,,Free-standing,,,,,,,,,,,,,
Citrus limon,,,,,,,tree,,,,,,woody,,,,,,,
Citrus maxima,,,,,,,Tree,,,,,,woody,,,,,,,
Citrus medica,,,,,,,woody,,,,,,W,,,,,,,
Citrus reticulata,,,,,,,tree,,,,,,woody,,,,,,,
Citrus tachibana,,,,,,,shrub,,,,,,woody,,,,,,,
Citrus trifoliata,,,,,,,No,,,,,,woody,,,,,,,
Coffea abbayesii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea ambanjensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea ambongensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea andrambovatensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea ankaranensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea arabica,,,,,,,Shrub,,,,perennial,,W,,,,,,,diffuse-porous
Coffea arenesiana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea benghalensis,,,,,,,shrub,,,,,,woody,,,,,,,
Coffea betamponensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea bissetiae,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea boinensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea boiviniana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea bonnieri,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea brevipes,,,,,,,shrub,,,,,,woody,,,,,,,
Coffea buxifolia,,,,,,,Free-standing,,,,,,W,,,,,,,
Coffea canephora,,,,,,,shrubs,,,,perennial,,W,,,,,,,
Coffea commersoniana,,,,,,,woody,,,,,,W,,,,,,,
Coffea congensis,,,,,,,woody,,,,,,W,,,,,,,
Coffea coursiana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea decaryana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea eugenioides,,,,,,,T,,,,,,W,,,,,,,
Coffea farafanganensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea fragilis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea fragrans,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea gallienii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea grevei,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea heimii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea homollei,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea humbertii,,,,,,,woody,,,,,,W,,,,,,,
Coffea humblotiana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea humilis,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Coffea jumellei,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea kapakata,,,,,,,,,,,,,W,,,,,,,
Coffea kianjavatensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea labatii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea lancifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea leroyi,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea liaudii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea liberica,,,,,,,Tree,,,,,,W,,,,,,,
Coffea ligustroides,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Coffea littoralis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea macrocarpa,,,,,,,Free-standing,,,,,,W,,,,,,,
Coffea mangoroensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea manombensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea mauritiana,,,,,,,shrub/tree,,,,,,W,,,,,,,
Coffea mcphersonii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea millotii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea minutiflora,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea montis-sacri,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea moratii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea mufindiensis,,,,,,,Free-standing,,,,,,W,,,,,,,
Coffea myrtifolia,,,,,,,Free-standing,,,,,,W,,,,,,,
Coffea namorokensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea perrieri,,,,,,,woody,,,,,,woody,,,,,,,
Coffea pervilleana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea pterocarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea racemosa,,,,,,,tree,,,,,,woody,,,,,,,
Coffea rakotonasoloi,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea ratsimamangae,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea resinosa,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea richardii,,,,,,,shrub/tree,,,,,,woody,,,,,,,
Coffea sahafaryensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea sakarahae,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea salvatrix,,,,,,,,,,,,,W,,,,,,,
Coffea sambavensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea stenophylla,,,,,,,Free-standing,,,,,,W,,,,,,,
Coffea tetragona,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea toshii,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea travancorensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea tricalysioides,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea tsirananae,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea vatovavyensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea vavateninensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea vianneyi,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea vohemarensis,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea wightiana,,,,,,,Free-standing,,,,,,,,,,,,,
Coffea zanguebariae,,,,,,,woody,,,,,,W,,,,,,,
Cordyline australis,,,,,,,Tree,,,,perennial,,W,,,,,,,
Cordyline banksii,,,,,,,tree/palmoid/woody,,,,,,W,,,,,,,
Cordyline cannifolia,,,,,,,shrub/woody,,,,,,W,,,,,,,
Cordyline congesta,,,,,,,shrub,,,,perennial,,woody,,,,,,,
Cordyline fruticosa,,,,,,,Herb,,,,,,W,,,,,,,
Cordyline indivisa,,,,,,,shrub/woody,,,,,,W,,,,,,,
Cordyline manners-suttoniae,,,,,,,Free-standing,,,,,,,,,,,,,
Cordyline murchisoniae,,,,,,,Free-standing,,,,,,,,,,,,,
Cordyline obtecta,,,,,,,,,,,,,W,,,,,,,
Cordyline petiolaris,,,,,,,shrub,,,,,,woody,,,,,,,
Cordyline pumilio,,,,,,,shrub,,,,,,W,,,,,,,
Cordyline rubra,,,,,,,shrub,,,,,,woody,,,,,,,
Cordyline stricta,,,,,,,shrub,,,,,,woody,,,,,,,
Cornus alba,weiß,hermaphroditic,,,drupe,,Stem erect,,1.0,False,always pluriennial-pollakanthic,,woody,,,,,,,
Cornus alternifolia,,,,,,,shrub,,,False,,,woody,,,,,,,diffuse
Cornus amomum,,,,,,,shrub,,,,perennial,,woody,,,,,,,
Cornus asperifolia,,,,,,,Shrub,,,,perennial,,W,,,,,,,
Cornus austrosinensis,,,,,,,Free-standing,,,,,,,,,,,,,
Cornus bretschneideri,,,,,,,Tree shrub intermediate,,,False,perennial,,W,,,,,,,
Cornus canadensis,,,,,,,grass,,,,perennial,,H,,,,,,,
Cornus capitata,,,,,,,Tree,,,,,,W,,,,,,,
Cornus chinensis,,,,,,,shrub/tree,,,,perennial,,W,,,,,,,
Cornus controversa,,,,,,,tree,,,False,perennial,,W,,,,,,,
Cornus darvasica,,,,,,,shrub,,,,perennial,,W,,,,,,,
Cornus disciflora,,,,,,,tree,,,,,,woody,,,,,,,
Cornus drummondii,,,,,,,shrub,,,,perennial,,W,,,,,,,
Cornus excelsa,,,,,,,Tree,,,,perennial,,W,,,,,,,
Cornus eydeana,,,,,,,,,,,,,W,,,,,,,
Cornus florida,,,,,,,tree,,,False,125.0,,woody,,,,,,,diffuse-porous
Cornus foemina,,,,,,,Herb,,,,,,W,,,,,,,
Cornus glabrata,,,,,,,shrub,,,,,,Y,,,,,,,
Cornus hemsleyi,,,,,,,Tree,,,,,,W,,,,,,,
Cornus hongkongensis,,,,,,,shrub,,,,perennial,,W,,,,,,,
Cornus iberica,,,,,,,,,,,,,W,,,,,,,
Cornus koehneana,,,,,,,Free-standing,,,,,,W,,,,,,,
Cornus kousa,,,,,,,Shrub,,,False,perennial,,W,,,,,,,
Cornus macrophylla,,,,,,,shrub,,,False,200.0,,W,,,,,,,
Cornus mas,gelb,hermaphroditic,,,drupe,,Stem erect,,2.0,False,perennial,,3,,,,,,,
Cornus meyeri,,,,,,,shrub/tree,,,,perennial,,W,,,,,,,
Cornus multinervosa,,,,,,,Free-standing,,,,,,W,,,,,,,
Cornus nuttallii,,,,,,,tree,,,,125.0,,woody,,,,,,,
Cornus obliqua,,,,,,,shrub,,,,,,woody,,,,,,,
Cornus oblonga,,,,,,,Tree shrub intermediate,,,,1000.0,,W,,,,,,,
Cornus officinalis,,,,,,,shrub,,,False,perennial,,W,,,,,,,
Cornus oligophlebia,,,,,,,Free-standing,,,,,,W,,,,,,,
Cornus papillosa,,,,,,,Free-standing,,,,,,,,,,,,,
Cornus parviflora,,,,,,,shrub/tree,,,,perennial,,W,,,,,,,
Cornus peruviana,,,,,,,Tree,,,,,,W,,,,,,,
Cornus racemosa,,,,,,,shrub,,,False,,,woody,,,,,,,
Cornus rugosa,,,,,,,shrub,,,,perennial,,woody,,,,,,,
Cornus sanguinea,weiß,hermaphroditic,,,drupe,,tree / shrub,,2.0,,perennial,,3,,,,,,,diffuse-porous
Cornus schindleri,,,,,,,shrub/tree,,,,perennial,,W,,,,,,,
Cornus sericea,weiß,hermaphroditic,,,drupe,,Stem erect,,1.0,False,always pluriennial-pollakanthic,,woody,,,,,,,
Cornus sessilis,,,,,,,"Tree, Shrub",,,,perennial,,W,,,,,,,
Cornus suecica,dunkel braunrot,hermaphroditic,,,drupe,,Stem erect,,,,perennial,,h,,,,,,,1
Cornus ulotricha,,,,,,,Tree shrub intermediate,,,,,,W,,,,,,,
Cornus volkensii,,,,,,,tree,,,,perennial,,W,,,,,,,
Cornus walteri,,,,,,,Tree,,,False,300.0,,W,,,,,,,
Cornus wilsoniana,,,,,,,Tree shrub intermediate,,,,perennial,,W,,,,,,,
Corylus americana,,,,,,,shrub,,,,perennial,,woody,,,,,,,
Corylus avellana,"grün, grünlich gelb",monoecious,,,nut,,Stem erect,,2.0,False,perennial,,2,,,,physiological,20.0,hypogeal,diffuse-porous
Corylus chinensis,,,,,,,Tree,,,False,,,W,,,,,,,
Corylus colchica,,,,,,,woody,,,,,,W,,,,,,,
Corylus colurna,,,,,,,Stem erect,,12.0,False,perennials,,woody,,,,,,,
Corylus cornuta,,,,,,,shrub,,,False,perennial,,woody,,,,,,,
Corylus fargesii,,,,,,,Tree,,,False,,,,,,,,,,
Corylus ferox,,,,,,,Tree,,,False,,,W,,,,,,,
Corylus heterophylla,,,,,,,shrub,,,False,no,,W,,,,,,,
Corylus jacquemontii,,,,,,,,,,,,,W,,,,,,,
Corylus maxima,,,,,,,Stem erect,,3.0,False,perennials,,woody,,,,,,,
Corylus sieboldiana,,,,,,,No,,,,,,W,,,,,,,
Corylus wangii,,,,,,,Tree,,,False,2300.0,,,,,,,,,
Corylus yunnanensis,,,,,,,Tree shrub intermediate,,,,1600.0,,W,,,,,,,
Crataegus acutifolia,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus aestivalis,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Crataegus alleghaniensis,,,,,,,Shrub,,,,,,,,,,,,,
Crataegus ambigua,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus anamesa,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus aprica,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus aquacervensis,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus ashei,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus atrorubens,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus atrovirens,,,,,,,Tree,,,,,,,,,,,,,
Crataegus aurantia,,,,,,,Tree,,,False,,,W,,,,,,,
Crataegus aurescens,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus austromontana,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus azarolus,,,,,,,Tree shrub intermediate,,,False,,,W,,,,,,,
Crataegus baroussana,,,,,,,Tree,,,,,,,,,,,,,
Crataegus beadlei,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus beata,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus berberifolia,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus brachyacantha,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus brazoria,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus calpodendron,,,,,,,shrub,,,,perennial,,W,,,,,,,
Crataegus castlegarensis,,,,,,,Tree,,,,,,,,,,,,,
Crataegus chlorocarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus chlorosarca,,,,,,,tree,,,,,,woody,,,,,,,
Crataegus chrysocarpa,,,,,,,shrub,,1.5,,perennial,,woody,,,,,,,
Crataegus chungtienensis,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus coccinea,,,,,,,Stem erect,,2.5,,perennials,,woody,,,,,,,
Crataegus coccinioides,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus cognata,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus coleae,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus collicola,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus collina,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus compacta,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus condigna,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus crus-galli,,,,,,,Stem erect,,4.0,,perennial,,woody,,,,,,,
Crataegus cuneata,,,,,,,shrub,,,False,,,woody,,,,,,,
Crataegus cupressocollina,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus cuprina,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus dahurica,,,,,,,Tree shrub intermediate,,,False,,,,,,,,,,
Crataegus desueta,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus dispar,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus distincta,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus dodgei,,,,,,,Tree,,,,,,,,,,,,,
Crataegus douglasii,,,,,,,tree,,,False,perennial,,woody,,,,,,,
Crataegus dzhairensis,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus enderbyensis,,,,,,,Tree,,,,,,,,,,,,,
Crataegus erythrocarpa,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus erythropoda,,,,,,,non-succulent,,,,,,woody,,,,,,,
Crataegus fecunda,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus ferganensis,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus flabellata,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus flava,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus floridana,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus florifera,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus fluviatilis,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus forbesiae,,,,,,,Shrub,,,,,,,,,,,,,
Crataegus fragilis,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus fretalis,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus gattingeri,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus gaylussacia,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus glareosa,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus grandifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus greggiana,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus grignonensis,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus harbisonii,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus hatamii,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus heldreichii,,,,,,,Shrub,,,,,,woody,,,,,,,
Crataegus heterophylloides,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus hissarica,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus holmesiana,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus hupehensis,,,,,,,tree,,,,,,W,,,,,,,
Crataegus incaedua,,,,,,,Tree,,,,,,,,,,,,,
Crataegus indicens,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus intricata,,,,,,,Shrub,,1.5,False,,,woody,,,,,,,
Crataegus iracunda,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus irrasa,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus isfajramensis,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus jesupii,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus johnstonii,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus jonesiae,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus kansuensis,,,,,,,Tree shrub intermediate,,,False,,,woody,,,,,,,
Crataegus karadaghensis,,,,,,,Shrub,,,,,,woody,,,,,,,
Crataegus kelloggii,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus khatamsazae,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus knorringiana,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus kurdistanica,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus kyrtostyla,,,,,,,woody,,,,,,woody,,,,,,,
Crataegus laciniata,,,,,,,Tree shrub intermediate,,,False,,,W,,,,,,,
Crataegus lacrimata,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus laevigata,weiß,hermaphroditic,,,pome,,Stem erect,,,False,always pluriennial-pollakanthic,,woody,,,,,,,diffuse-porous
Crataegus lanuginosa,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus latebrosa,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus lavallei,,,,,,,woody,,,,,,woody,,,,,,,
Crataegus leonensis,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus longipes,,,,,,,Free-standing,,,,,,,,,,,,,
Crataegus lucorum,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
Crataegus lumaria,,,,,,,Tree,,,,,,,,,,,,,
Crataegus macracantha,,,,,,,"Tree, Shrub",,,,,,,,,,,,,
